design,method,group,k,rep,moved,drc_base,drc_A,drc_B,red_A,red_B,wl_A,wl_B
aes_like,Shadow price,economic,2,0,"M5,M4",311.03688581825674,224.506148159894,199.6901693647136,27.820088743083634,35.798556869105425,1.6578810804905362,-0.046431595334990305
aes_like,Grad-CAM,saliency,1,0,M0,311.03688581825674,239.40385950476286,247.98196807367552,23.030395936818266,20.272488768880326,-0.5244039002540082,0.42334689864255864
aes_like,Grad-CAM,saliency,2,0,"M0,M1",311.03688581825674,197.39343628747122,259.4107084864565,36.536968672323,16.598088421566228,0.04096905470734439,6.735312593887417
aes_like,Integrated grads,saliency,1,0,M0,311.03688581825674,239.40385950476286,247.98196807367552,23.030395936818266,20.272488768880326,-0.5244039002540082,0.42334689864255864
aes_like,Integrated grads,saliency,2,0,"M0,M4",311.03688581825674,232.5113961941674,206.40823610165114,25.246359259773744,33.63866296479756,-1.0761205036462458,-1.136208450550351
aes_like,Input x gradient,saliency,1,0,M4,311.03688581825674,288.5670509787156,173.793124037064,7.224170464679414,44.12459358964462,-0.9204380957583372,-2.728539043509136
aes_like,Input x gradient,saliency,2,0,"M4,M2",311.03688581825674,212.0358202476783,238.53420071984743,31.829364967480473,23.30999582498831,-3.269330565646082,-3.9739983066124056
aes_like,Proximity heuristic,heuristic,1,0,M4,311.03688581825674,288.5670509787156,173.793124037064,7.224170464679414,44.12459358964462,-0.9204380957583372,-2.728539043509136
aes_like,Proximity heuristic,heuristic,2,0,"M4,M5",311.03688581825674,224.506148159894,159.29103319442942,27.820088743083634,48.787092316920436,1.6578810804905362,1.8135634883784448
aes_like,Random,control,1,0,M3,311.03688581825674,205.50604277211076,290.4526357555851,33.928722880735485,6.617945009486526,-1.259115614672384,-0.02731270313822959
aes_like,Random,control,2,0,"M3,M5",311.03688581825674,164.8748507481276,234.76309785784252,46.99186550997481,24.522425293629666,-3.351268675060771,1.6223745664108378
aes_like,Random,control,1,1,M1,311.03688581825674,249.4521460229068,310.064789129322,19.79981880069838,0.312534214833531,0.5790293065304674,8.349493349356786
aes_like,Random,control,2,1,"M1,M3",311.03688581825674,168.44334894552597,238.6198348309817,45.844574510063154,23.282464006403846,-4.785185589817824,4.0641302269685635
aes_like,Random,control,1,2,M2,311.03688581825674,241.28671592428918,300.5185800282802,22.425047662907595,3.3816908121059694,-1.5595553491929097,-1.0406139895665474
aes_like,Random,control,2,2,"M2,M4",311.03688581825674,215.30433931977646,386.1449101443346,30.778518839215156,-24.147626133951366,-2.004752410346052,5.416109032310928
aes_like,Random,control,1,3,M3,311.03688581825674,205.50604277211076,290.4526357555851,33.928722880735485,6.617945009486526,-1.259115614672384,-0.02731270313822959
aes_like,Random,control,2,3,"M3,M0",311.03688581825674,246.07223975116318,193.65369288510638,20.886476501392607,37.73931590921953,2.791358260727064,-0.8931253926201076
aes_like,Random,control,1,4,M0,311.03688581825674,239.40385950476286,161.86715419982562,23.030395936818266,47.95885582059007,-0.5244039002540082,0.0
aes_like,Random,control,2,4,"M0,M1",311.03688581825674,197.39343628747122,250.56265338791206,36.536968672323,19.442784823173874,0.04096905470734439,6.096195340452844
aes_like,Oracle upper bound,bound,1,0,M4,311.03688581825674,288.5670509787156,288.5670509787156,7.224170464679414,7.224170464679414,-0.9204380957583372,-0.9204380957583372
aes_like,Oracle upper bound,bound,2,0,"M4,M5",311.03688581825674,224.506148159894,224.506148159894,27.820088743083634,27.820088743083634,1.6578810804905362,1.6578810804905362
jpeg_like,HP responsibility,causal,1,0,M0,356.7172659512888,278.5761032123824,278.5761032123824,21.905629527216913,21.905629527216913,-3.5307922059451005,-3.5307922059451005
jpeg_like,HP responsibility,causal,2,0,"M0,M3",356.7172659512888,247.7904321622679,247.7904321622679,30.53590173117533,30.53590173117533,1.0400369790925899,1.0400369790925899
jpeg_like,HP blame,causal,1,0,M0,356.7172659512888,278.5761032123824,278.5761032123824,21.905629527216913,21.905629527216913,-3.5307922059451005,-3.5307922059451005
jpeg_like,HP blame,causal,2,0,"M0,M3",356.7172659512888,247.7904321622679,247.7904321622679,30.53590173117533,30.53590173117533,1.0400369790925899,1.0400369790925899
jpeg_like,Prob. of necessity,causal,1,0,M0,356.7172659512888,278.5761032123824,278.5761032123824,21.905629527216913,21.905629527216913,-3.5307922059451005,-3.5307922059451005
jpeg_like,Prob. of necessity,causal,2,0,"M0,M3",356.7172659512888,247.7904321622679,247.7904321622679,30.53590173117533,30.53590173117533,1.0400369790925899,1.0400369790925899
jpeg_like,Shapley value,causal,1,0,M5,356.7172659512888,285.74506284097333,285.74506284097333,19.895925957227714,19.895925957227714,-3.0241075238230692,-3.0241075238230692
jpeg_like,Shapley value,causal,2,0,"M5,M0",356.7172659512888,206.65731263239036,206.65731263239036,42.06691619446022,42.06691619446022,-4.634831460674158,-4.634831460674158
jpeg_like,Pigou externality,economic,1,0,M9,356.7172659512888,258.0147054416018,311.2661257773169,27.669689676071147,12.741502728432115,-4.378822358128289,-1.896956336225288
jpeg_like,Pigou externality,economic,2,0,"M9,M0",356.7172659512888,234.5026921601248,236.38271528682623,34.26090785520119,33.733873336227795,-2.6969847816811265,-0.0817806855354857
jpeg_like,Shadow price,economic,1,0,M0,356.7172659512888,278.5761032123824,310.8103857204635,21.905629527216913,12.869262189594739,-3.5307922059451005,-1.50760915943678
