design,kind,drc,n_hotspot,wl,changed,offmask
aes_like,eco_move,452.21263649362834,137,37373.0,5,000000
aes_like,eco_move,368.03552560733294,111,36986.0,5,000000
aes_like,eco_move,437.8213734099653,144,37802.0,5,000000
aes_like,eco_move,407.4408348737356,138,37624.0,5,000000
aes_like,single_move,369.20032659313927,130,38909.0,0,000000
aes_like,single_move,312.7162566823171,118,38228.0,0,000000
aes_like,single_move,354.0155393789448,108,37673.0,0,000000
aes_like,single_move,356.7499607254113,110,38564.0,0,000000
aes_like,single_move,290.41148472550265,96,35724.0,1,000000
aes_like,single_move,254.18222189608994,89,35530.0,1,000000
aes_like,single_move,274.60447990453025,92,36648.0,1,000000
aes_like,single_move,397.2193587417927,125,37941.0,1,000000
aes_like,single_move,369.7441253378894,127,37491.0,2,000000
aes_like,single_move,471.10792934956373,112,38235.0,2,000000
aes_like,single_move,438.69914083262887,152,38071.0,2,000000
aes_like,single_move,446.8781632106866,139,37550.0,2,000000
aes_like,single_move,346.71063007786427,115,37007.0,3,000000
aes_like,single_move,265.1092328553185,94,38896.0,3,000000
aes_like,single_move,325.68430243637664,114,39059.0,3,000000
aes_like,single_move,295.61608662665304,112,38454.0,3,000000
aes_like,single_move,328.1667882060608,100,38705.0,4,000000
aes_like,single_move,352.3748685695705,107,36924.0,4,000000
aes_like,single_move,390.0354334076237,139,39906.0,4,000000
aes_like,single_move,337.4925052916244,113,36464.0,4,000000
aes_like,single_move,244.73101188521792,89,37563.0,5,000000
aes_like,single_move,318.16938284991085,110,35607.0,5,000000
aes_like,single_move,402.97976785794293,147,39228.0,5,000000
aes_like,single_move,462.7407588056028,149,33793.0,5,000000
aes_like,coalition_jitter,393.5734279918063,130,37580.0,0,000000
aes_like,coalition_off,197.9378123665117,82,36226.0,"1,5,0,2,4",111011
aes_like,coalition_off,165.61857656668536,67,35065.0,"4,5,2,0",101011
aes_like,coalition_jitter,529.0489054875558,150,39803.0,"0,4",000000
aes_like,coalition_off,379.972278634253,131,38332.0,"3,0,5,2,1",111101
aes_like,coalition_jitter,269.06161669820455,105,37162.0,"2,5,0",000000
aes_like,swap,327.6447733595655,105,38072.0,"4,2",000000
aes_like,coalition_off,336.4015133441122,108,36684.0,2,001000
aes_like,swap,402.43804186581383,125,38409.0,"3,5",000000
aes_like,swap,383.60595121594736,117,37868.0,"5,4",000000
aes_like,mixed,281.0758955892592,85,38187.0,"0,1,3,2,5,4",110100
aes_like,coalition_off,329.14497943982144,112,36321.0,3,000100
aes_like,coalition_jitter,416.6758496857975,136,37067.0,2,000000
aes_like,coalition_off,419.2863339095403,121,31635.0,"5,3,0",100101
aes_like,mixed,264.14579915527395,96,36336.0,5,000001
aes_like,mixed,123.43095326616046,45,35493.0,"4,3,1,0,5",000110
aes_like,coalition_off,197.9378123665117,82,36226.0,"2,5,4,1,0",111011
aes_like,coalition_jitter,437.39744012047095,136,38634.0,0,000000
aes_like,coalition_off,267.10602229964246,92,36263.0,"1,3,4,0,5,2",111111
aes_like,coalition_jitter,241.72940255209093,89,35535.0,"2,3",000000
aes_like,coalition_off,222.19636227654007,76,36513.0,"1,5",010001
aes_like,swap,402.43804186581383,125,38409.0,"3,5",000000
